time,rx_axis_tdata,rx_axis_tkeep,rx_axis_tlast,rx_axis_tuser,rx_axis_tvalid,rx_clk,rx_ptp_time,rx_rst,tx_axis_tdata,tx_axis_tkeep,tx_axis_tlast,tx_axis_tready,tx_axis_tuser,tx_axis_tvalid,tx_clk,tx_ptp_time,tx_ptp_ts,tx_ptp_ts_tag,tx_ptp_ts_valid,tx_rst
3099897,506097522914230528,255,0,405089550,1,0,202951491,0,3391538145,15,0,1,0,0,0,202951491,198070894,0,0,0
3103000,1084818905618843912,255,0,405089550,1,1,203358208,0,3391538145,15,0,1,0,0,1,203358208,198070894,0,0,0
3106103,1084818905618843912,255,0,405089550,1,0,203358208,0,3391538145,15,0,1,0,0,0,203358208,198070894,0,0,0
3109206,1663540288323457296,255,0,405089550,1,1,203764924,0,3391538145,15,0,1,0,0,1,203764924,198070894,0,0,0
3112309,1663540288323457296,255,0,405089550,1,0,203764924,0,3391538145,15,0,1,0,0,0,203764924,198070894,0,0,0
3115412,2242261671028070680,255,0,405089550,1,1,204171640,0,3391538145,15,0,1,0,0,1,204171640,198070894,0,0,0
3118515,2242261671028070680,255,0,405089550,1,0,204171640,0,3391538145,15,0,1,0,0,0,204171640,198070894,0,0,0
3121618,2242261671028070680,255,0,405089550,0,1,204578357,0,3391538145,15,0,1,0,0,1,204578357,198070894,0,0,0
3124721,2242261671028070680,255,0,405089550,0,0,204578357,0,3391538145,15,0,1,0,0,0,204578357,198070894,0,0,0
3127824,2820983053732684064,255,0,405089550,1,1,204985073,0,3391538145,15,0,1,0,0,1,204985073,198070894,0,0,0
3130927,2820983053732684064,255,0,405089550,1,0,204985073,0,3391538145,15,0,1,0,0,0,204985073,198070894,0,0,0
3134030,3399704436437297448,255,0,405089550,1,1,205391790,0,3391538145,15,0,1,0,0,1,205391790,198070894,0,0,0
3137133,3399704436437297448,255,0,405089550,1,0,205391790,0,3391538145,15,0,1,0,0,0,205391790,198070894,0,0,0
3140236,3978425819141910832,255,0,405089550,1,1,205798506,0,3391538145,15,0,1,0,0,1,205798506,198070894,0,0,0
3143339,3978425819141910832,255,0,405089550,1,0,205798506,0,3391538145,15,0,1,0,0,0,205798506,198070894,0,0,0
3146442,4557147201846524216,255,0,405089550,1,1,206205222,0,3391538145,15,0,1,0,0,1,206205222,198070894,0,0,0
3149545,4557147201846524216,255,0,405089550,1,0,206205222,0,3391538145,15,0,1,0,0,0,206205222,198070894,0,0,0
3152648,5135868584551137600,255,0,405089550,1,1,206611939,0,3391538145,15,0,1,0,0,1,206611939,198070894,0,0,0
3155751,5135868584551137600,255,0,405089550,1,0,206611939,0,3391538145,15,0,1,0,0,0,206611939,198070894,0,0,0
3158854,5714589967255750984,255,0,405089550,1,1,207018655,0,3391538145,15,0,1,0,0,1,207018655,198070894,0,0,0
3161957,5714589967255750984,255,0,405089550,1,0,207018655,0,3391538145,15,0,1,0,0,0,207018655,198070894,0,0,0
3165060,3391538145,15,1,405089550,1,1,207425372,0,3391538145,15,0,1,0,0,1,207425372,198070894,0,0,0
3168163,3391538145,15,1,405089550,1,0,207425372,0,3391538145,15,0,1,0,0,0,207425372,198070894,0,0,0
3171266,3391538145,15,1,405089550,0,1,207832088,0,3391538145,15,0,1,0,0,1,207832088,198070894,0,0,0
3174369,3391538145,15,1,405089550,0,0,207832088,0,3391538145,15,0,1,0,0,0,207832088,198070894,0,0,0
3177472,3391538145,15,1,405089550,0,1,208238804,0,506097522914230528,255,0,1,0,1,1,208238804,198070894,0,0,0
3180575,3391538145,15,1,405089550,0,0,208238804,0,506097522914230528,255,0,1,0,1,0,208238804,198070894,0,0,0
3183678,3391538145,15,1,405089550,0,1,208645521,0,1084818905618843912,255,0,1,0,1,1,208645521,198070894,0,0,0
3186781,3391538145,15,1,405089550,0,0,208645521,0,1084818905618843912,255,0,1,0,1,0,208645521,198070894,0,0,0
3189884,3391538145,15,1,405089550,0,1,209052237,0,1663540288323457296,255,0,1,0,1,1,209052237,198070894,0,0,0
