time,rx_axis_tdata,rx_axis_tkeep,rx_axis_tlast,rx_axis_tuser,rx_axis_tvalid,rx_clk,rx_ptp_time,rx_rst,tx_axis_tdata,tx_axis_tkeep,tx_axis_tlast,tx_axis_tready,tx_axis_tuser,tx_axis_tvalid,tx_clk,tx_ptp_time,tx_ptp_ts,tx_ptp_ts_tag,tx_ptp_ts_valid,tx_rst
39378305,254567124429288,63,1,4996305386,0,1,2580696596,0,7450754115369591136,255,0,1,0,1,1,2580696596,2530532720,0,0,0
39379585,254567124429288,63,1,4996305386,0,0,2580696596,0,7450754115369591136,255,0,1,0,1,0,2580696596,2530532720,0,0,0
39380865,254567124429288,63,1,4996305386,0,1,2580864368,0,8029475498074204520,255,0,1,0,1,1,2580864368,2530532720,0,0,0
39382145,254567124429288,63,1,4996305386,0,0,2580864368,0,8029475498074204520,255,0,1,0,1,0,2580864368,2530532720,0,0,0
39383425,254567124429288,63,1,4996305386,0,1,2581032140,0,8608196880778817904,255,0,1,0,1,1,2581032140,2530532720,0,0,0
39384705,254567124429288,63,1,4996305386,0,0,2581032140,0,8608196880778817904,255,0,1,0,1,0,2581032140,2530532720,0,0,0
39385985,254567124429288,63,1,4996305386,0,1,2581199912,0,9186918263483431288,255,0,1,0,1,1,2581199912,2530532720,0,0,0
39387265,254567124429288,63,1,4996305386,0,0,2581199912,0,9186918263483431288,255,0,1,0,1,0,2581199912,2530532720,0,0,0
39388545,254567124429288,63,1,4996305386,0,1,2581367685,0,9765639646188044672,255,0,1,0,1,1,2581367685,2530532720,0,0,0
39389825,254567124429288,63,1,4996305386,0,0,2581367685,0,9765639646188044672,255,0,1,0,1,0,2581367685,2530532720,0,0,0
39391105,254567124429288,63,1,4996305386,0,1,2581535457,0,10344361028892658056,255,0,1,0,1,1,2581535457,2530532720,0,0,0
39392385,254567124429288,63,1,4996305386,0,0,2581535457,0,10344361028892658056,255,0,1,0,1,0,2581535457,2530532720,0,0,0
39393665,254567124429288,63,1,4996305386,0,1,2581703229,0,10923082411597271440,255,0,1,0,1,1,2581703229,2530532720,0,0,0
39394945,254567124429288,63,1,4996305386,0,0,2581703229,0,10923082411597271440,255,0,1,0,1,0,2581703229,2530532720,0,0,0
39396225,254567124429288,63,1,4996305386,0,1,2581871001,0,11501803794301884824,255,0,1,0,1,1,2581871001,2530532720,0,0,0
39397505,254567124429288,63,1,4996305386,0,0,2581871001,0,11501803794301884824,255,0,1,0,1,0,2581871001,2530532720,0,0,0
39398785,254567124429288,63,1,4996305386,0,1,2582038773,0,12080525177006498208,255,0,1,0,1,1,2582038773,2530532720,0,0,0
39400065,254567124429288,63,1,4996305386,0,0,2582038773,0,12080525177006498208,255,0,1,0,1,0,2582038773,2530532720,0,0,0
39401345,254567124429288,63,1,4996305386,0,1,2582206545,0,12659246559711111592,255,0,1,0,1,1,2582206545,2530532720,0,0,0
39402625,254567124429288,63,1,4996305386,0,0,2582206545,0,12659246559711111592,255,0,1,0,1,0,2582206545,2530532720,0,0,0
39403905,254567124429288,63,1,4996305386,0,1,2582374318,0,13237967942415724976,255,0,1,0,1,1,2582374318,2530532720,0,0,0
39405185,254567124429288,63,1,4996305386,0,0,2582374318,0,13237967942415724976,255,0,1,0,1,0,2582374318,2530532720,0,0,0
