time,rx_axis_tdata,rx_axis_tkeep,rx_axis_tlast,rx_axis_tuser,rx_axis_tvalid,rx_clk,rx_ptp_time,rx_rst,tx_axis_tdata,tx_axis_tkeep,tx_axis_tlast,tx_axis_tready,tx_axis_tuser,tx_axis_tvalid,tx_clk,tx_ptp_time,tx_ptp_ts,tx_ptp_ts_tag,tx_ptp_ts_valid,tx_rst
21717897,254567124429288,63,1,1945731334,0,0,1423100739,0,11501803794301884824,255,0,1,0,1,0,1423100739,1054208950,0,0,0
21721000,254567124429288,63,1,1945731334,0,1,1423507456,0,12080525177006498208,255,0,1,0,1,1,1423507456,1054208950,0,0,0
21724103,254567124429288,63,1,1945731334,0,0,1423507456,0,12080525177006498208,255,0,1,0,1,0,1423507456,1054208950,0,0,0
21727206,254567124429288,63,1,1945731334,0,1,1423914172,0,12659246559711111592,255,0,1,0,1,1,1423914172,1054208950,0,0,0
21730309,254567124429288,63,1,1945731334,0,0,1423914172,0,12659246559711111592,255,0,1,0,1,0,1423914172,1054208950,0,0,0
21733412,254567124429288,63,1,1945731334,0,1,1424320888,0,13237967942415724976,255,0,1,0,1,1,1424320888,1054208950,0,0,0
21736515,254567124429288,63,1,1945731334,0,0,1424320888,0,13237967942415724976,255,0,1,0,1,0,1424320888,1054208950,0,0,0
21739618,254567124429288,63,1,1945731334,0,1,1424727605,0,13816689325120338360,255,0,1,0,1,1,1424727605,1054208950,0,0,0
21742721,254567124429288,63,1,1945731334,0,0,1424727605,0,13816689325120338360,255,0,1,0,1,0,1424727605,1054208950,0,0,0
21745824,254567124429288,63,1,1945731334,0,1,1425134321,0,14395410707824951744,255,0,1,0,1,1,1425134321,1054208950,0,0,0
21748927,254567124429288,63,1,1945731334,0,0,1425134321,0,14395410707824951744,255,0,1,0,1,0,1425134321,1054208950,0,0,0
21752030,254567124429288,63,1,1945731334,0,1,1425541038,0,14974132090529565128,255,0,1,0,1,1,1425541038,1054208950,0,0,0
21755133,254567124429288,63,1,1945731334,0,0,1425541038,0,14974132090529565128,255,0,1,0,1,0,1425541038,1054208950,0,0,0
21758236,254567124429288,63,1,1945731334,0,1,1425947754,0,15552853473234178512,255,0,1,0,1,1,1425947754,1054208950,0,0,0
21761339,254567124429288,63,1,1945731334,0,0,1425947754,0,15552853473234178512,255,0,1,0,1,0,1425947754,1054208950,0,0,0
21764442,254567124429288,63,1,1945731334,0,1,1426354470,0,16131574855938791896,255,0,1,0,1,1,1426354470,1054208950,0,0,0
21767545,254567124429288,63,1,1945731334,0,0,1426354470,0,16131574855938791896,255,0,1,0,1,0,1426354470,1054208950,0,0,0
21770648,254567124429288,63,1,1945731334,0,1,1426761187,0,16710296238643405280,255,0,1,0,1,1,1426761187,1054208950,0,0,0
21773751,254567124429288,63,1,1945731334,0,0,1426761187,0,16710296238643405280,255,0,1,0,1,0,1426761187,1054208950,0,0,0
21776854,254567124429288,63,1,1945731334,0,1,1427167903,0,17289017621348018664,255,0,1,0,1,1,1427167903,1054208950,0,0,0
21779957,254567124429288,63,1,1945731334,0,0,1427167903,0,17289017621348018664,255,0,1,0,1,0,1427167903,1054208950,0,0,0
21783060,254567124429288,63,1,1945731334,0,1,1427574620,0,17867739004052632048,255,0,1,0,1,1,1427574620,1054208950,0,0,0
