time,rx_axis_tdata,rx_axis_tkeep,rx_axis_tlast,rx_axis_tuser,rx_axis_tvalid,rx_clk,rx_ptp_time,rx_rst,tx_axis_tdata,tx_axis_tkeep,tx_axis_tlast,tx_axis_tready,tx_axis_tuser,tx_axis_tvalid,tx_clk,tx_ptp_time,tx_ptp_ts,tx_ptp_ts_tag,tx_ptp_ts_valid,tx_rst
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
3103,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6206,0,0,0,0,0,1,406716,1,0,0,0,0,0,0,1,406716,0,0,0,1
9309,0,0,0,0,0,0,406716,1,0,0,0,0,0,0,0,406716,0,0,0,1
12412,0,0,0,0,0,1,813432,1,0,0,0,0,0,0,1,813432,0,0,0,1
15515,0,0,0,0,0,0,813432,1,0,0,0,0,0,0,0,813432,0,0,0,1
18618,0,0,0,0,0,1,1220149,0,0,0,0,0,0,0,1,1220149,0,0,0,0
21721,0,0,0,0,0,0,1220149,0,0,0,0,0,0,0,0,1220149,0,0,0,0
24824,0,0,0,0,0,1,1626865,0,0,0,0,1,0,0,1,1626865,0,0,0,0
27927,0,0,0,0,0,0,1626865,0,0,0,0,1,0,0,0,1626865,0,0,0,0
31030,0,0,0,0,0,1,2033582,0,0,0,0,1,0,0,1,2033582,0,0,0,0
34133,0,0,0,0,0,0,2033582,0,0,0,0,1,0,0,0,2033582,0,0,0,0
37236,0,0,0,0,0,1,2440298,0,506097522914230528,255,0,1,0,1,1,2440298,0,0,0,0
40339,0,0,0,0,0,0,2440298,0,506097522914230528,255,0,1,0,1,0,2440298,0,0,0,0
43442,0,0,0,0,0,1,2847014,0,1084818905618843912,255,0,1,0,1,1,2847014,0,0,0,0
46545,0,0,0,0,0,0,2847014,0,1084818905618843912,255,0,1,0,1,0,2847014,0,0,0,0
49648,0,0,0,0,0,1,3253731,0,1663540288323457296,255,0,1,0,1,1,3253731,0,0,0,0
52751,0,0,0,0,0,0,3253731,0,1663540288323457296,255,0,1,0,1,0,3253731,0,0,0,0
55854,0,0,0,0,0,1,3660447,0,2242261671028070680,255,0,1,0,1,1,3660447,3253731,0,1,0
58957,0,0,0,0,0,0,3660447,0,2242261671028070680,255,0,1,0,1,0,3660447,3253731,0,1,0
62060,0,0,0,0,0,1,4067164,0,2820983053732684064,255,0,1,0,1,1,4067164,3253731,0,0,0
65163,0,0,0,0,0,0,4067164,0,2820983053732684064,255,0,1,0,1,0,4067164,3253731,0,0,0
68266,0,0,0,0,0,1,4473880,0,3399704436437297448,255,0,1,0,1,1,4473880,3253731,0,0,0
71369,0,0,0,0,0,0,4473880,0,3399704436437297448,255,0,1,0,1,0,4473880,3253731,0,0,0
74472,0,0,0,0,0,1,4880596,0,3978425819141910832,255,0,1,0,1,1,4880596,3253731,0,0,0
77575,0,0,0,0,0,0,4880596,0,3978425819141910832,255,0,1,0,1,0,4880596,3253731,0,0,0
80678,0,0,0,0,0,1,5287313,0,12748705306351647032,255,1,1,0,1,1,5287313,3253731,0,0,0
83781,0,0,0,0,0,0,5287313,0,12748705306351647032,255,1,1,0,1,0,5287313,3253731,0,0,0
86884,0,0,0,0,0,1,5694029,0,12748705306351647032,255,0,1,0,0,1,5694029,3253731,0,0,0
89987,0,0,0,0,0,0,5694029,0,12748705306351647032,255,0,1,0,0,0,5694029,3253731,0,0,0
93090,0,0,0,0,0,1,6100746,0,12748705306351647032,255,0,1,0,0,1,6100746,3253731,0,0,0
96193,0,0,0,0,0,0,6100746,0,12748705306351647032,255,0,1,0,0,0,6100746,3253731,0,0,0
99296,0,0,0,0,0,1,6507462,0,12748705306351647032,255,0,1,0,0,1,6507462,3253731,0,0,0
102399,0,0,0,0,0,0,6507462,0,12748705306351647032,255,0,1,0,0,0,6507462,3253731,0,0,0
105502,0,0,0,0,0,1,6914179,0,12748705306351647032,255,0,1,0,0,1,6914179,3253731,0,0,0
108605,0,0,0,0,0,0,6914179,0,12748705306351647032,255,0,1,0,0,0,6914179,3253731,0,0,0
111708,506097522914230528,255,0,13828358,1,1,7320895,0,12748705306351647032,255,0,1,0,0,1,7320895,3253731,0,0,0
114811,506097522914230528,255,0,13828358,1,0,7320895,0,12748705306351647032,255,0,1,0,0,0,7320895,3253731,0,0,0
117914,1084818905618843912,255,0,13828358,1,1,7727611,0,12748705306351647032,255,0,1,0,0,1,7727611,3253731,0,0,0
121017,1084818905618843912,255,0,13828358,1,0,7727611,0,12748705306351647032,255,0,1,0,0,0,7727611,3253731,0,0,0
124120,1663540288323457296,255,0,13828358,1,1,8134328,0,12748705306351647032,255,0,1,0,0,1,8134328,3253731,0,0,0
127223,1663540288323457296,255,0,13828358,1,0,8134328,0,12748705306351647032,255,0,1,0,0,0,8134328,3253731,0,0,0
130326,2242261671028070680,255,0,13828358,1,1,8541044,0,12748705306351647032,255,0,1,0,0,1,8541044,3253731,0,0,0
133429,2242261671028070680,255,0,13828358,1,0,8541044,0,12748705306351647032,255,0,1,0,0,0,8541044,3253731,0,0,0
136532,2820983053732684064,255,0,13828358,1,1,8947761,0,12748705306351647032,255,0,1,0,0,1,8947761,3253731,0,0,0
139635,2820983053732684064,255,0,13828358,1,0,8947761,0,12748705306351647032,255,0,1,0,0,0,8947761,3253731,0,0,0
142738,3399704436437297448,255,0,13828358,1,1,9354477,0,12748705306351647032,255,0,1,0,0,1,9354477,3253731,0,0,0
145841,3399704436437297448,255,0,13828358,1,0,9354477,0,12748705306351647032,255,0,1,0,0,0,9354477,3253731,0,0,0
148944,3978425819141910832,255,0,13828358,1,1,9761193,0,12748705306351647032,255,0,1,0,0,1,9761193,3253731,0,0,0
152047,3978425819141910832,255,0,13828358,1,0,9761193,0,12748705306351647032,255,0,1,0,0,0,9761193,3253731,0,0,0
155150,12748705306351647032,255,1,13828358,1,1,10167910,0,12748705306351647032,255,0,1,0,0,1,10167910,3253731,0,0,0
158253,12748705306351647032,255,1,13828358,1,0,10167910,0,12748705306351647032,255,0,1,0,0,0,10167910,3253731,0,0,0
161356,12748705306351647032,255,1,13828358,0,1,10574626,0,12748705306351647032,255,0,1,0,0,1,10574626,3253731,0,0,0
164459,12748705306351647032,255,1,13828358,0,0,10574626,0,12748705306351647032,255,0,1,0,0,0,10574626,3253731,0,0,0
167562,12748705306351647032,255,1,13828358,0,1,10981343,0,506097522914230528,255,0,1,0,1,1,10981343,3253731,0,0,0
170665,12748705306351647032,255,1,13828358,0,0,10981343,0,506097522914230528,255,0,1,0,1,0,10981343,3253731,0,0,0
173768,12748705306351647032,255,1,13828358,0,1,11388059,0,1084818905618843912,255,0,1,0,1,1,11388059,3253731,0,0,0
176871,12748705306351647032,255,1,13828358,0,0,11388059,0,1084818905618843912,255,0,1,0,1,0,11388059,3253731,0,0,0
179974,12748705306351647032,255,1,13828358,0,1,11794776,0,1663540288323457296,255,0,1,0,1,1,11794776,3253731,0,0,0
183077,12748705306351647032,255,1,13828358,0,0,11794776,0,1663540288323457296,255,0,1,0,1,0,11794776,3253731,0,0,0
186180,12748705306351647032,255,1,13828358,0,1,12201492,0,2242261671028070680,255,0,1,0,1,1,12201492,11794776,0,1,0
189283,12748705306351647032,255,1,13828358,0,0,12201492,0,2242261671028070680,255,0,1,0,1,0,12201492,11794776,0,1,0
192386,12748705306351647032,255,1,13828358,0,1,12608208,0,2820983053732684064,255,0,1,0,1,1,12608208,11794776,0,0,0
