time,rx_axis_tdata,rx_axis_tkeep,rx_axis_tlast,rx_axis_tuser,rx_axis_tvalid,rx_clk,rx_ptp_time,rx_rst,tx_axis_tdata,tx_axis_tkeep,tx_axis_tlast,tx_axis_tready,tx_axis_tuser,tx_axis_tvalid,tx_clk,tx_ptp_time,tx_ptp_ts,tx_ptp_ts_tag,tx_ptp_ts_valid,tx_rst
32978305,2242261671028070680,255,0,4321190214,1,1,2161266196,0,591659091016,31,0,1,0,0,1,2161266196,2158749614,0,0,0
32979585,2242261671028070680,255,0,4321190214,1,0,2161266196,0,591659091016,31,0,1,0,0,0,2161266196,2158749614,0,0,0
32980865,2820983053732684064,255,0,4321190214,1,1,2161433968,0,591659091016,31,0,1,0,0,1,2161433968,2158749614,0,0,0
32982145,2820983053732684064,255,0,4321190214,1,0,2161433968,0,591659091016,31,0,1,0,0,0,2161433968,2158749614,0,0,0
32983425,3399704436437297448,255,0,4321190214,1,1,2161601740,0,591659091016,31,0,1,0,0,1,2161601740,2158749614,0,0,0
32984705,3399704436437297448,255,0,4321190214,1,0,2161601740,0,591659091016,31,0,1,0,0,0,2161601740,2158749614,0,0,0
32985985,3978425819141910832,255,0,4321190214,1,1,2161769512,0,591659091016,31,0,1,0,0,1,2161769512,2158749614,0,0,0
32987265,3978425819141910832,255,0,4321190214,1,0,2161769512,0,591659091016,31,0,1,0,0,0,2161769512,2158749614,0,0,0
32988545,4557147201846524216,255,0,4321190214,1,1,2161937285,0,591659091016,31,0,1,0,0,1,2161937285,2158749614,0,0,0
32989825,4557147201846524216,255,0,4321190214,1,0,2161937285,0,591659091016,31,0,1,0,0,0,2161937285,2158749614,0,0,0
32991105,5135868584551137600,255,0,4321190214,1,1,2162105057,0,591659091016,31,0,1,0,0,1,2162105057,2158749614,0,0,0
32992385,5135868584551137600,255,0,4321190214,1,0,2162105057,0,591659091016,31,0,1,0,0,0,2162105057,2158749614,0,0,0
32993665,591659091016,31,1,4321190214,1,1,2162272829,0,591659091016,31,0,1,0,0,1,2162272829,2158749614,0,0,0
32994945,591659091016,31,1,4321190214,1,0,2162272829,0,591659091016,31,0,1,0,0,0,2162272829,2158749614,0,0,0
32996225,591659091016,31,1,4321190214,0,1,2162440601,0,591659091016,31,0,1,0,0,1,2162440601,2158749614,0,0,0
32997505,591659091016,31,1,4321190214,0,0,2162440601,0,591659091016,31,0,1,0,0,0,2162440601,2158749614,0,0,0
32998785,591659091016,31,1,4321190214,0,1,2162608373,0,506097522914230528,255,0,1,0,1,1,2162608373,2158749614,0,0,0
33000065,591659091016,31,1,4321190214,0,0,2162608373,0,506097522914230528,255,0,1,0,1,0,2162608373,2158749614,0,0,0
33001345,591659091016,31,1,4321190214,0,1,2162776145,0,1084818905618843912,255,0,1,0,1,1,2162776145,2158749614,0,0,0
33002625,591659091016,31,1,4321190214,0,0,2162776145,0,1084818905618843912,255,0,1,0,1,0,2162776145,2158749614,0,0,0
33003905,591659091016,31,1,4321190214,0,1,2162943918,0,1663540288323457296,255,0,1,0,1,1,2162943918,2162776145,0,1,0
33005185,591659091016,31,1,4321190214,0,0,2162943918,0,1663540288323457296,255,0,1,0,1,0,2162943918,2162776145,0,1,0
33006465,591659091016,31,1,4321190214,0,1,2163111690,0,2242261671028070680,255,0,1,0,1,1,2163111690,2162776145,0,0,0
33007745,591659091016,31,1,4321190214,0,0,2163111690,0,2242261671028070680,255,0,1,0,1,0,2163111690,2162776145,0,0,0
33009025,591659091016,31,1,4321190214,0,1,2163279462,0,2820983053732684064,255,0,1,0,1,1,2163279462,2162776145,0,0,0
33010305,591659091016,31,1,4321190214,0,0,2163279462,0,2820983053732684064,255,0,1,0,1,0,2163279462,2162776145,0,0,0
33011585,591659091016,31,1,4321190214,0,1,2163447234,0,3399704436437297448,255,0,1,0,1,1,2163447234,2162776145,0,0,0
33012865,591659091016,31,1,4321190214,0,0,2163447234,0,3399704436437297448,255,0,1,0,1,0,2163447234,2162776145,0,0,0
33014145,591659091016,31,1,4321190214,0,1,2163615006,0,3978425819141910832,255,0,1,0,1,1,2163615006,2162776145,0,0,0
33015425,591659091016,31,1,4321190214,0,0,2163615006,0,3978425819141910832,255,0,1,0,1,0,2163615006,2162776145,0,0,0
33016705,591659091016,31,1,4321190214,0,1,2163782778,0,4557147201846524216,255,0,1,0,1,1,2163782778,2162776145,0,0,0
33017985,591659091016,31,1,4321190214,0,0,2163782778,0,4557147201846524216,255,0,1,0,1,0,2163782778,2162776145,0,0,0
33019265,591659091016,31,1,4321190214,0,1,2163950551,0,5135868584551137600,255,0,1,0,1,1,2163950551,2162776145,0,0,0
33020545,591659091016,31,1,4321190214,0,0,2163950551,0,5135868584551137600,255,0,1,0,1,0,2163950551,2162776145,0,0,0
33021825,591659091016,31,1,4321190214,0,1,2164118323,0,189366493333832,63,1,1,0,1,1,2164118323,2162776145,0,0,0
33023105,591659091016,31,1,4321190214,0,0,2164118323,0,189366493333832,63,1,1,0,1,0,2164118323,2162776145,0,0,0
33024385,591659091016,31,1,4321190214,0,1,2164286095,0,189366493333832,63,0,1,0,0,1,2164286095,2162776145,0,0,0
33025665,591659091016,31,1,4321190214,0,0,2164286095,0,189366493333832,63,0,1,0,0,0,2164286095,2162776145,0,0,0
33026945,591659091016,31,1,4321190214,0,1,2164453867,0,189366493333832,63,0,1,0,0,1,2164453867,2162776145,0,0,0
33028225,591659091016,31,1,4321190214,0,0,2164453867,0,189366493333832,63,0,1,0,0,0,2164453867,2162776145,0,0,0
33029505,591659091016,31,1,4321190214,0,1,2164621639,0,189366493333832,63,0,1,0,0,1,2164621639,2162776145,0,0,0
33030785,591659091016,31,1,4321190214,0,0,2164621639,0,189366493333832,63,0,1,0,0,0,2164621639,2162776145,0,0,0
33032065,506097522914230528,255,0,4329243278,1,1,2164789411,0,189366493333832,63,0,1,0,0,1,2164789411,2162776145,0,0,0
33033345,506097522914230528,255,0,4329243278,1,0,2164789411,0,189366493333832,63,0,1,0,0,0,2164789411,2162776145,0,0,0
33034625,1084818905618843912,255,0,4329243278,1,1,2164957184,0,189366493333832,63,0,1,0,0,1,2164957184,2162776145,0,0,0
33035905,1084818905618843912,255,0,4329243278,1,0,2164957184,0,189366493333832,63,0,1,0,0,0,2164957184,2162776145,0,0,0
33037185,1663540288323457296,255,0,4329243278,1,1,2165124956,0,189366493333832,63,0,1,0,0,1,2165124956,2162776145,0,0,0
33038465,1663540288323457296,255,0,4329243278,1,0,2165124956,0,189366493333832,63,0,1,0,0,0,2165124956,2162776145,0,0,0
33039745,2242261671028070680,255,0,4329243278,1,1,2165292728,0,189366493333832,63,0,1,0,0,1,2165292728,2162776145,0,0,0
33041025,2242261671028070680,255,0,4329243278,1,0,2165292728,0,189366493333832,63,0,1,0,0,0,2165292728,2162776145,0,0,0
33042305,2820983053732684064,255,0,4329243278,1,1,2165460500,0,189366493333832,63,0,1,0,0,1,2165460500,2162776145,0,0,0
33043585,2820983053732684064,255,0,4329243278,1,0,2165460500,0,189366493333832,63,0,1,0,0,0,2165460500,2162776145,0,0,0
33044865,3399704436437297448,255,0,4329243278,1,1,2165628272,0,189366493333832,63,0,1,0,0,1,2165628272,2162776145,0,0,0
33046145,3399704436437297448,255,0,4329243278,1,0,2165628272,0,189366493333832,63,0,1,0,0,0,2165628272,2162776145,0,0,0
33047425,3978425819141910832,255,0,4329243278,1,1,2165796044,0,189366493333832,63,0,1,0,0,1,2165796044,2162776145,0,0,0
33048705,3978425819141910832,255,0,4329243278,1,0,2165796044,0,189366493333832,63,0,1,0,0,0,2165796044,2162776145,0,0,0
33049985,4557147201846524216,255,0,4329243278,1,1,2165963816,0,189366493333832,63,0,1,0,0,1,2165963816,2162776145,0,0,0
33051265,4557147201846524216,255,0,4329243278,1,0,2165963816,0,189366493333832,63,0,1,0,0,0,2165963816,2162776145,0,0,0
33052545,5135868584551137600,255,0,4329243278,1,1,2166131589,0,189366493333832,63,0,1,0,0,1,2166131589,2162776145,0,0,0
