time,rx_axis_tdata,rx_axis_tkeep,rx_axis_tlast,rx_axis_tuser,rx_axis_tvalid,rx_clk,rx_ptp_time,rx_rst,tx_axis_tdata,tx_axis_tkeep,tx_axis_tlast,tx_axis_tready,tx_axis_tuser,tx_axis_tvalid,tx_clk,tx_ptp_time,tx_ptp_ts,tx_ptp_ts_tag,tx_ptp_ts_valid,tx_rst
31026897,12748705306351647032,255,1,4053335800,0,0,2033175363,0,3978425819141910832,255,0,1,0,1,0,2033175363,2031548497,0,0,0
31030000,12748705306351647032,255,1,4053335800,0,1,2033582080,0,12748705306351647032,255,1,1,0,1,1,2033582080,2031548497,0,0,0
31033103,12748705306351647032,255,1,4053335800,0,0,2033582080,0,12748705306351647032,255,1,1,0,1,0,2033582080,2031548497,0,0,0
31036206,12748705306351647032,255,1,4053335800,0,1,2033988796,0,12748705306351647032,255,0,1,0,0,1,2033988796,2031548497,0,0,0
31039309,12748705306351647032,255,1,4053335800,0,0,2033988796,0,12748705306351647032,255,0,1,0,0,0,2033988796,2031548497,0,0,0
31042412,12748705306351647032,255,1,4053335800,0,1,2034395512,0,12748705306351647032,255,0,1,0,0,1,2034395512,2031548497,0,0,0
31045515,12748705306351647032,255,1,4053335800,0,0,2034395512,0,12748705306351647032,255,0,1,0,0,0,2034395512,2031548497,0,0,0
31048618,12748705306351647032,255,1,4053335800,0,1,2034802229,0,12748705306351647032,255,0,1,0,0,1,2034802229,2031548497,0,0,0
31051721,12748705306351647032,255,1,4053335800,0,0,2034802229,0,12748705306351647032,255,0,1,0,0,0,2034802229,2031548497,0,0,0
31054824,12748705306351647032,255,1,4053335800,0,1,2035208945,0,12748705306351647032,255,0,1,0,0,1,2035208945,2031548497,0,0,0
31057927,12748705306351647032,255,1,4053335800,0,0,2035208945,0,12748705306351647032,255,0,1,0,0,0,2035208945,2031548497,0,0,0
31061030,506097522914230528,255,0,4070417890,1,1,2035615662,0,12748705306351647032,255,0,1,0,0,1,2035615662,2031548497,0,0,0
31064133,506097522914230528,255,0,4070417890,1,0,2035615662,0,12748705306351647032,255,0,1,0,0,0,2035615662,2031548497,0,0,0
31067236,1084818905618843912,255,0,4070417890,1,1,2036022378,0,12748705306351647032,255,0,1,0,0,1,2036022378,2031548497,0,0,0
31070339,1084818905618843912,255,0,4070417890,1,0,2036022378,0,12748705306351647032,255,0,1,0,0,0,2036022378,2031548497,0,0,0
31073442,1663540288323457296,255,0,4070417890,1,1,2036429094,0,12748705306351647032,255,0,1,0,0,1,2036429094,2031548497,0,0,0
31076545,1663540288323457296,255,0,4070417890,1,0,2036429094,0,12748705306351647032,255,0,1,0,0,0,2036429094,2031548497,0,0,0
31079648,2242261671028070680,255,0,4070417890,1,1,2036835811,0,12748705306351647032,255,0,1,0,0,1,2036835811,2031548497,0,0,0
31082751,2242261671028070680,255,0,4070417890,1,0,2036835811,0,12748705306351647032,255,0,1,0,0,0,2036835811,2031548497,0,0,0
31085854,2820983053732684064,255,0,4070417890,1,1,2037242527,0,12748705306351647032,255,0,1,0,0,1,2037242527,2031548497,0,0,0
31088957,2820983053732684064,255,0,4070417890,1,0,2037242527,0,12748705306351647032,255,0,1,0,0,0,2037242527,2031548497,0,0,0
31092060,3399704436437297448,255,0,4070417890,1,1,2037649244,0,12748705306351647032,255,0,1,0,0,1,2037649244,2031548497,0,0,0
31095163,3399704436437297448,255,0,4070417890,1,0,2037649244,0,12748705306351647032,255,0,1,0,0,0,2037649244,2031548497,0,0,0
31098266,3978425819141910832,255,0,4070417890,1,1,2038055960,0,12748705306351647032,255,0,1,0,0,1,2038055960,2031548497,0,0,0
31101369,3978425819141910832,255,0,4070417890,1,0,2038055960,0,12748705306351647032,255,0,1,0,0,0,2038055960,2031548497,0,0,0
31104472,12748705306351647032,255,1,4070417890,1,1,2038462676,0,12748705306351647032,255,0,1,0,0,1,2038462676,2031548497,0,0,0
31107575,12748705306351647032,255,1,4070417890,1,0,2038462676,0,12748705306351647032,255,0,1,0,0,0,2038462676,2031548497,0,0,0
31110678,12748705306351647032,255,1,4070417890,0,1,2038869393,0,12748705306351647032,255,0,1,0,0,1,2038869393,2031548497,0,0,0
31113781,12748705306351647032,255,1,4070417890,0,0,2038869393,0,12748705306351647032,255,0,1,0,0,0,2038869393,2031548497,0,0,0
31116884,12748705306351647032,255,1,4070417890,0,1,2039276109,0,506097522914230528,255,0,1,0,1,1,2039276109,2031548497,0,0,0
31119987,12748705306351647032,255,1,4070417890,0,0,2039276109,0,506097522914230528,255,0,1,0,1,0,2039276109,2031548497,0,0,0
31123090,12748705306351647032,255,1,4070417890,0,1,2039682826,0,1084818905618843912,255,0,1,0,1,1,2039682826,2031548497,0,0,0
31126193,12748705306351647032,255,1,4070417890,0,0,2039682826,0,1084818905618843912,255,0,1,0,1,0,2039682826,2031548497,0,0,0
31129296,12748705306351647032,255,1,4070417890,0,1,2040089542,0,1663540288323457296,255,0,1,0,1,1,2040089542,2031548497,0,0,0
31132399,12748705306351647032,255,1,4070417890,0,0,2040089542,0,1663540288323457296,255,0,1,0,1,0,2040089542,2031548497,0,0,0
31135502,12748705306351647032,255,1,4070417890,0,1,2040496259,0,2242261671028070680,255,0,1,0,1,1,2040496259,2040089542,0,1,0
31138605,12748705306351647032,255,1,4070417890,0,0,2040496259,0,2242261671028070680,255,0,1,0,1,0,2040496259,2040089542,0,1,0
31141708,12748705306351647032,255,1,4070417890,0,1,2040902975,0,2820983053732684064,255,0,1,0,1,1,2040902975,2040089542,0,0,0
31144811,12748705306351647032,255,1,4070417890,0,0,2040902975,0,2820983053732684064,255,0,1,0,1,0,2040902975,2040089542,0,0,0
31147914,12748705306351647032,255,1,4070417890,0,1,2041309691,0,3399704436437297448,255,0,1,0,1,1,2041309691,2040089542,0,0,0
31151017,12748705306351647032,255,1,4070417890,0,0,2041309691,0,3399704436437297448,255,0,1,0,1,0,2041309691,2040089542,0,0,0
31154120,12748705306351647032,255,1,4070417890,0,1,2041716408,0,3978425819141910832,255,0,1,0,1,1,2041716408,2040089542,0,0,0
31157223,12748705306351647032,255,1,4070417890,0,0,2041716408,0,3978425819141910832,255,0,1,0,1,0,2041716408,2040089542,0,0,0
31160326,12748705306351647032,255,1,4070417890,0,1,2042123124,0,12748705306351647032,255,1,1,0,1,1,2042123124,2040089542,0,0,0
31163429,12748705306351647032,255,1,4070417890,0,0,2042123124,0,12748705306351647032,255,1,1,0,1,0,2042123124,2040089542,0,0,0
31166532,12748705306351647032,255,1,4070417890,0,1,2042529841,0,12748705306351647032,255,0,1,0,0,1,2042529841,2040089542,0,0,0
31169635,12748705306351647032,255,1,4070417890,0,0,2042529841,0,12748705306351647032,255,0,1,0,0,0,2042529841,2040089542,0,0,0
31172738,12748705306351647032,255,1,4070417890,0,1,2042936557,0,12748705306351647032,255,0,1,0,0,1,2042936557,2040089542,0,0,0
31175841,12748705306351647032,255,1,4070417890,0,0,2042936557,0,12748705306351647032,255,0,1,0,0,0,2042936557,2040089542,0,0,0
31178944,12748705306351647032,255,1,4070417890,0,1,2043343273,0,12748705306351647032,255,0,1,0,0,1,2043343273,2040089542,0,0,0
31182047,12748705306351647032,255,1,4070417890,0,0,2043343273,0,12748705306351647032,255,0,1,0,0,0,2043343273,2040089542,0,0,0
31185150,12748705306351647032,255,1,4070417890,0,1,2043749990,0,12748705306351647032,255,0,1,0,0,1,2043749990,2040089542,0,0,0
31188253,12748705306351647032,255,1,4070417890,0,0,2043749990,0,12748705306351647032,255,0,1,0,0,0,2043749990,2040089542,0,0,0
31191356,506097522914230528,255,0,4087499980,1,1,2044156706,0,12748705306351647032,255,0,1,0,0,1,2044156706,2040089542,0,0,0
31194459,506097522914230528,255,0,4087499980,1,0,2044156706,0,12748705306351647032,255,0,1,0,0,0,2044156706,2040089542,0,0,0
31197562,1084818905618843912,255,0,4087499980,1,1,2044563423,0,12748705306351647032,255,0,1,0,0,1,2044563423,2040089542,0,0,0
31200665,1084818905618843912,255,0,4087499980,1,0,2044563423,0,12748705306351647032,255,0,1,0,0,0,2044563423,2040089542,0,0,0
31203768,1663540288323457296,255,0,4087499980,1,1,2044970139,0,12748705306351647032,255,0,1,0,0,1,2044970139,2040089542,0,0,0
31206871,1663540288323457296,255,0,4087499980,1,0,2044970139,0,12748705306351647032,255,0,1,0,0,0,2044970139,2040089542,0,0,0
31209974,2242261671028070680,255,0,4087499980,1,1,2045376856,0,12748705306351647032,255,0,1,0,0,1,2045376856,2040089542,0,0,0
31213077,2242261671028070680,255,0,4087499980,1,0,2045376856,0,12748705306351647032,255,0,1,0,0,0,2045376856,2040089542,0,0,0
31216180,2820983053732684064,255,0,4087499980,1,1,2045783572,0,12748705306351647032,255,0,1,0,0,1,2045783572,2040089542,0,0,0
31219283,2820983053732684064,255,0,4087499980,1,0,2045783572,0,12748705306351647032,255,0,1,0,0,0,2045783572,2040089542,0,0,0
31222386,3399704436437297448,255,0,4087499980,1,1,2046190288,0,12748705306351647032,255,0,1,0,0,1,2046190288,2040089542,0,0,0
31225489,3399704436437297448,255,0,4087499980,1,0,2046190288,0,12748705306351647032,255,0,1,0,0,0,2046190288,2040089542,0,0,0
31228592,3978425819141910832,255,0,4087499980,1,1,2046597005,0,12748705306351647032,255,0,1,0,0,1,2046597005,2040089542,0,0,0
31231695,3978425819141910832,255,0,4087499980,1,0,2046597005,0,12748705306351647032,255,0,1,0,0,0,2046597005,2040089542,0,0,0
31234798,12748705306351647032,255,1,4087499980,1,1,2047003721,0,12748705306351647032,255,0,1,0,0,1,2047003721,2040089542,0,0,0
31237901,12748705306351647032,255,1,4087499980,1,0,2047003721,0,12748705306351647032,255,0,1,0,0,0,2047003721,2040089542,0,0,0
31241004,12748705306351647032,255,1,4087499980,0,1,2047410438,0,12748705306351647032,255,0,1,0,0,1,2047410438,2040089542,0,0,0
31244107,12748705306351647032,255,1,4087499980,0,0,2047410438,0,12748705306351647032,255,0,1,0,0,0,2047410438,2040089542,0,0,0
31247210,12748705306351647032,255,1,4087499980,0,1,2047817154,0,506097522914230528,255,0,1,0,1,1,2047817154,2040089542,0,0,0
31250313,12748705306351647032,255,1,4087499980,0,0,2047817154,0,506097522914230528,255,0,1,0,1,0,2047817154,2040089542,0,0,0
31253416,12748705306351647032,255,1,4087499980,0,1,2048223870,0,1084818905618843912,255,0,1,0,1,1,2048223870,2040089542,0,0,0
31256519,12748705306351647032,255,1,4087499980,0,0,2048223870,0,1084818905618843912,255,0,1,0,1,0,2048223870,2040089542,0,0,0
31259622,12748705306351647032,255,1,4087499980,0,1,2048630587,0,1663540288323457296,255,0,1,0,1,1,2048630587,2040089542,0,0,0
31262725,12748705306351647032,255,1,4087499980,0,0,2048630587,0,1663540288323457296,255,0,1,0,1,0,2048630587,2040089542,0,0,0
31265828,12748705306351647032,255,1,4087499980,0,1,2049037303,0,2242261671028070680,255,0,1,0,1,1,2049037303,2048630587,0,1,0
31268931,12748705306351647032,255,1,4087499980,0,0,2049037303,0,2242261671028070680,255,0,1,0,1,0,2049037303,2048630587,0,1,0
31272034,12748705306351647032,255,1,4087499980,0,1,2049444020,0,2820983053732684064,255,0,1,0,1,1,2049444020,2048630587,0,0,0
31275137,12748705306351647032,255,1,4087499980,0,0,2049444020,0,2820983053732684064,255,0,1,0,1,0,2049444020,2048630587,0,0,0
31278240,12748705306351647032,255,1,4087499980,0,1,2049850736,0,3399704436437297448,255,0,1,0,1,1,2049850736,2048630587,0,0,0
31281343,12748705306351647032,255,1,4087499980,0,0,2049850736,0,3399704436437297448,255,0,1,0,1,0,2049850736,2048630587,0,0,0
31284446,12748705306351647032,255,1,4087499980,0,1,2050257453,0,3978425819141910832,255,0,1,0,1,1,2050257453,2048630587,0,0,0
31287549,12748705306351647032,255,1,4087499980,0,0,2050257453,0,3978425819141910832,255,0,1,0,1,0,2050257453,2048630587,0,0,0
31290652,12748705306351647032,255,1,4087499980,0,1,2050664169,0,12748705306351647032,255,1,1,0,1,1,2050664169,2048630587,0,0,0
31293755,12748705306351647032,255,1,4087499980,0,0,2050664169,0,12748705306351647032,255,1,1,0,1,0,2050664169,2048630587,0,0,0
31296858,12748705306351647032,255,1,4087499980,0,1,2051070885,0,12748705306351647032,255,0,1,0,0,1,2051070885,2048630587,0,0,0
31299961,12748705306351647032,255,1,4087499980,0,0,2051070885,0,12748705306351647032,255,0,1,0,0,0,2051070885,2048630587,0,0,0
31303064,12748705306351647032,255,1,4087499980,0,1,2051477602,0,12748705306351647032,255,0,1,0,0,1,2051477602,2048630587,0,0,0
31306167,12748705306351647032,255,1,4087499980,0,0,2051477602,0,12748705306351647032,255,0,1,0,0,0,2051477602,2048630587,0,0,0
